Cafes,Foodtype,GEO,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Sunday,Thursday,Thursday,Monday,Wednesday,Thursday,Monday,Thursday,Thursday,Monday,Wednesday,Thursday,Wednesday,Wednesday,Monday,Thursday,Thursday,Wednesday,Thursday,Monday,Thursday,Monday,Friday,Wednesday,Sunday,Thursday,Monday,Friday,Wednesday,Thursday,Thursday,Sunday
ресторан1 (пан-запекан),"гарниры,салаты","55.778168, 37.601470",10,11,12,12,11,11,6,12,13,6,5,10,6,12,17,20,15,5,6,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ресторан2 (веган),веганская еда,"55.755053, 37.590536",,,,,,,,,,,,,,,,,,,,,22,,,15,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ресторан3 (кондитерская),выпечка,"55.741161, 37.594191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,,,,8,5,,7,10,,8,8,3,13,6,7,7,3,8,29,,,,,,,,,,,
ресторан4 (супы),супы,"55.754994, 37.650928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,18,6,27,10,30,15,20,20,15
