,Cafes,Foodtype,GEO,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,latitude,longitude,vegan,Specificity
0,ресторан1 (пан-запекан),"гарниры,салаты","55.778168, 37.601470",13.0,14.666666666666666,11.0,7.333333333333333,9.0,10.0,8.0,55.778168,37.601470,0,0
1,ресторан2 (веган),"гарниры,салаты","55.755053, 37.590536",,,15.0,15.0,8.0,,22.0,55.755053,37.590536,1,2
2,ресторан3 (кондитерская),выпечка,"55.741161, 37.594191",9.0,,6.0,9.5,,,5.0,55.741161,37.594191,0,1
3,ресторан4 (супы),супы,"55.754994, 37.650928",16.5,,16.5,22.333333333333332,26.5,,10.5,55.754994,37.650928,0,0
